,event_name,source,relevant information about time,relevant information about affected areas,relevant information about number of people affected,relevant information about number of people dead,relevant information about number of people who became homeless or displaced,relevant information about number of people who were injured,relevant information about economic loss,relevant information about building damage
230,Early 2014 Sabah floods,https://en.wikipedia.org/wiki/Early_2014_Sabah_floods,"High intensity rainfall since 13 January 2014 caused major flooding across the Interior Division of Sabah including some towns in other divisions such as Kota Kinabalu (Menggatal area), Penampang and Tuaran. Another follow-up heavy rainfall events caused repeated flash flooding in the interior areas in early February.","The floods affected three districts in the Interior Division such as Beaufort, Keningau and Tenom.","As of 15 February, more than 4,000 people had been evacuated to 22 relief centres in Beaufort and Tenom.",2 confirmed dead,"More than 4,000 people had been evacuated to 22 relief centres in Beaufort and Tenom.",NULL,Property damage: Millions of ringgit,NULL
231,Tropical Storm Etau (2009),https://en.wikipedia.org/wiki/Tropical_Storm_Etau_(2009),"Tropical Storm Etau (2009) occurred from August 8, 2009 to August 16, 2009.","The areas affected by Tropical Storm Etau (2009) included Japan, particularly Hyogo Prefecture.","A total of 5,602 homes were flooded and 183 were destroyed. 600 Japanese soldiers were deployed for cleanup efforts. 800 people were placed in public shelters and 53,000 homes were left without running water.",A total of 28 people were confirmed to have been killed by Tropical Storm Etau (2009).,"A total of 5,602 homes were flooded and 183 were destroyed due to the storm.",Two people sustained serious injuries in Tokushima.,The economic damage was $87.5 million (2009 USD).,"A total of 5,602 homes were flooded, 183 were destroyed, and 2,109 structures were damaged by landslides."
232,1945 Outer Banks hurricane,https://en.wikipedia.org/wiki/1945_Outer_Banks_hurricane,"The 1945 Outer Banks hurricane occurred from June 20, 1945 to July 4, 1945.","The areas affected by the 1945 Outer Banks hurricane include Big Bend (Florida), Georgia, South Carolina, and the Outer Banks (North Carolina).","Large-scale evacuations from the Wilmington area alone involved 5,000 people.",One man died in a traffic accident related to the 1945 Outer Banks hurricane.,"Evacuations were credited with reducing loss of life, but the exact number of people who became homeless or displaced is not explicitly mentioned.",The text does not explicitly mention the number of people who were injured due to the 1945 Outer Banks hurricane.,"The economic damage caused by the 1945 Outer Banks hurricane was reported to be $75,000 (1945 USD).","The text mentions that stormy conditions damaged trees, buildings, and crops, but the exact number of buildings damaged or destroyed is not explicitly mentioned."
233,Tropical Storm Kiko (2007),https://en.wikipedia.org/wiki/Tropical_Storm_Kiko_(2007),"Tropical Storm Kiko (2007) occurred from October 15, 2007 to October 23, 2007.",The areas affected by Tropical Storm Kiko (2007) were Western Mexico.,At least 15 people were confirmed dead and 9 were reported missing due to Tropical Storm Kiko (2007).,At least 15 people were confirmed dead due to Tropical Storm Kiko (2007).,NULL,NULL,None,NULL
234,Typhoon Talim (2017),https://en.wikipedia.org/wiki/Typhoon_Talim_(2017),"Typhoon Talim (2017) occurred from September 8, 2017, to September 22, 2017.","The areas affected by Typhoon Talim (2017) include Mariana Islands, Philippines, Taiwan, East China, Japan, and Kamchatka Peninsula.","More than a half a million individuals evacuated in the Japanese islands, and over 73 were injured in Japan.",5 deaths were confirmed caused by Typhoon Talim (2017) in total.,"Five homes were entirely destroyed, 615 were partially destroyed, and 804 were partially damaged.",73 individuals were injured in total.,The economic loss or damage due to Typhoon Talim (2017) was estimated at $750 million (2017 USD).,"Five homes were entirely destroyed, 615 were partially destroyed, and 804 were partially damaged."
235,Typhoon Neoguri (2014),https://en.wikipedia.org/wiki/Typhoon_Neoguri_(2014),"Typhoon Neoguri occurred from July 2, 2014 to July 13, 2014.","The areas affected by Typhoon Neoguri include Caroline Islands, Guam, Japan, South Korea, and Jeju Island.",The text does not explicitly mention the total number of people affected by Typhoon Neoguri.,Three deaths caused by Typhoon Neoguri were confirmed.,The text does not explicitly mention the total number of people who became homeless or displaced due to Typhoon Neoguri.,67 injuries caused by Typhoon Neoguri were confirmed.,The total damage in Japan was $632 million (2014 USD).,"Three buildings were destroyed completely, and eight buildings were partially destroyed in Nagano Prefecture and Okinawa Prefecture."
236,Typhoon Skip,https://en.wikipedia.org/wiki/Typhoon_Skip,"Typhoon Skip occurred from November 3, 1988, to November 12, 1988.","The areas affected by Typhoon Skip include the Philippines, specifically Cebu island, Mayon Volcano, Palawan, Capiz province, Aklan province, Iloilo province, Panay Island, Manila, Leyte island, San Jose, Tablas Island, Marinduque island, Tacloban, Agusan, Mindoro, Negros, Pasig, and Bohol Island.","Typhoon Skip directly affected 3,027,601 people, or 318,968 families.",A total of 237 people were confirmed to have been killed as a result of Typhoon Skip.,"At least 144,136 people or 28,824 families were evacuated to shelters as a result of the flooding caused by Typhoon Skip.","Nationwide, 146 people were injured as a result of Typhoon Skip.",The economic loss or damage due to Typhoon Skip totaled $131.8 million (1988 USD).,"Throughout the city, seventeen homes were demolished, and infrastructure damage totaled $106.2 million (1988 USD)."
237,Tropical Storm Abby (1964),https://en.wikipedia.org/wiki/Tropical_Storm_Abby_(1964),"Tropical Storm Abby occurred from August 5, 1964 to August 8, 1964.",The areas affected by Tropical Storm Abby were Louisiana and Texas.,NULL,None reported,"Evacuation orders were issued for Matagorda Island and most complied, with some deciding to remain at their homes.",NULL,"Total damage from the storm was estimated at $750,000 (1964 USD) with the majority stemming from crops.","Only two structures sustained damage in Matagorda, one being destroyed by a possible tornado."
238,Tropical Storm Hermine (2010),https://en.wikipedia.org/wiki/Tropical_Storm_Hermine_(2010),"Tropical Storm Hermine occurred from September 3, 2010 to September 10, 2010.","Tropical Storm Hermine affected Central America, Mexico, Texas, Oklahoma, and Kansas.","At least 50,000 people were affected by the depression in Mexico.","Tropical Storm Hermine caused 52 direct deaths, 50 indirect deaths, and 100 presumed dead.",Hundreds of people were displaced in Costa Rica due to heavy rains associated with the system.,At least 8 fatalities and several injuries were reported in Texas and Oklahoma.,"The storm resulted in roughly US$740 million in damage to crops and infrastructure, primarily in Guatemala.","Over 50 homes were severely damaged in Johnson County, Texas, and more than 60 water rescues were made after flash flooding inundated numerous homes."
239,Hurricane Leslie (2018),https://en.wikipedia.org/wiki/Hurricane_Leslie_(2018),Hurricane Leslie (2018) occurred from 23 September 2018 to 16 October 2018.,"The areas affected by Hurricane Leslie (2018) include Azores, Bermuda, East Coast of the United States, Madeira, Iberian Peninsula, and France.","Over 300,000 citizens were left without power in Portugal, and at least 17 injuries were reported across Spain.","Hurricane Leslie (2018) was responsible for 17 deaths in mainland Europe, including 2 direct deaths in Portugal and 15 indirect deaths in France.",At least 61 people had to be evacuated from their houses in Portugal due to damage from the storm.,At least 17 injuries were reported across Spain due to Hurricane Leslie (2018).,"The estimated damage total exceeded $500 million (2018 USD) in mainland Europe, with specific damage estimates for Portugal and France.","Multiple homes, schools, hospitals, and other buildings were damaged or destroyed by Hurricane Leslie (2018) in various municipalities."
240,Typhoon Kate,https://en.wikipedia.org/wiki/Typhoon_Kate_(1970),"Typhoon Kate occurred from October 14, 1970, to October 25, 1970.","The areas affected by Typhoon Kate include the Philippines, Indonesia, and Vietnam.","Over 631 casualties were reported due to Typhoon Kate, with 284 others listed as missing.",A total of 631 people were confirmed to have been killed by the storm.,"Over 5,000 houses and other structures were damaged or destroyed in southern Mindanao.","Initial reports indicated that at least 150 homes were destroyed within hours of Kate's landfall, and the death toll had reached 13 with 29 others missing and was expected to increase.",Damage from the storm was estimated at $50 million (1970 USD).,"Over 5,000 houses and other structures were damaged or destroyed in southern Mindanao."
241,Sidoarjo mud flow,https://en.wikipedia.org/wiki/Sidoarjo_mud_flow,The Sidoarjo mud flow has been in eruption since May 2006 and is expected to continue for the next 25 to 30 years.,"The areas affected by Sidoarjo mud flow include Porong, Sidoarjo in East Java, Indonesia.","It is mentioned that 6,234 people were killed by an earthquake two days before the mud eruption, and 1.5 million were left homeless.","It is mentioned that 6,234 people were killed by an earthquake two days before the mud eruption.",It is mentioned that 1.5 million people were left homeless by an earthquake two days before the mud eruption.,It is mentioned that some workers were injured during the relocation process due to new hot gas flows.,It is mentioned that Lapindo Brantas was asked to pay about 2.5 trillion rupiah (about US$276.8 million) to the victims and about 1.3 trillion rupiah as additional costs to stop the flow.,It is mentioned that a school was destroyed by the mud flow.
242,Cyclone Berguitta,https://en.wikipedia.org/wiki/Cyclone_Berguitta,Cyclone Berguitta occurred from 11 January 2018 to 24 January 2018.,Mauritius and Réunion were affected by Cyclone Berguitta.,"The text mentions that 6,800 households lost power in Mauritius, and 100,000 customers were left without electricity in Réunion.",A total of 2 fatalities were confirmed due to Cyclone Berguitta.,Several families in the town of St. Malo in Réunion who had lost their homes entirely remained homeless.,The text mentions that one person died in a road traffic accident and another person suffered a head injury after falling off a ladder.,"The economic losses in Mauritius were estimated at $59 million (2018 USD), and in Réunion, the losses were estimated at $48 million (2018 USD).","The text mentions that several buildings were damaged in Mauritius, and significant damage was caused to agricultural grounds and infrastructure in Réunion."
243,"Tropical Storm Alpha forms, breaks Atlantic storm record - Wikinews, the free news source","https://en.wikinews.org/wiki/Tropical_Storm_Alpha_forms,_breaks_Atlantic_storm_record","Tropical Storm Alpha formed Saturday in the Caribbean to break the record for most tropical storms in an Atlantic hurricane season ever, making it the 22nd storm of the year.",A tropical storm warning has been issued for Haiti and portions of the Dominican Republic.,NULL,NULL,NULL,NULL,NULL,NULL
244,Hurricane Hilary (1993),https://en.wikipedia.org/wiki/Hurricane_Hilary_(1993),"Hurricane Hilary (1993) occurred from August 17, 1993 to August 27, 1993.","The areas affected by Hurricane Hilary (1993) were Mexico, California, and Iowa.",NULL,None,Hundreds of people evacuated their homes.,NULL,Minimal damage was reported.,NULL
245,2011 China floods,https://en.wikipedia.org/wiki/2011_China_floods,"The 2011 China floods occurred from June to September 2011, with specific flooding from June 4-27, 2011.","The floods affected central and southern parts of the People's Republic of China, including Liaoning, Zhejiang, Shandong, Anhui, Jiangxi, Hubei, Hunan, Sichuan, Guizhou provinces, and Chongqing municipality.",At least 36.7 million people were affected by the floods.,At least 239 people were confirmed dead due to the 2011 China floods.,"Approximately 106,500 houses were destroyed, and 36.7 million people were affected, with 7,500 people evacuated and 68 reported missing.",The specific number of people injured is not provided in the text.,The economic loss or damage was approximately $6.65 billion USD.,"Nearly 7,500 houses were estimated to have been destroyed, and a total of over 10 million people were affected, with direct economic losses of 8.7 billion yuan (US$1.3 billion) inflicted."
246,Cyclone Ita,https://en.wikipedia.org/wiki/Cyclone_Ita,Cyclone Ita occurred from 1 April 2014 to 18 April 2014.,"The areas affected by Cyclone Ita include the Solomon Islands, Papua New Guinea, Queensland, and New Zealand.","An estimated 50,000 people were affected by the floods in the Solomon Islands, and approximately 62,000 people were affected by the storm in Milne Bay Province.",A total of 40 deaths were confirmed caused by Cyclone Ita.,"Approximately 9,000 people were left homeless in the Solomon Islands, and 1,159 homes were destroyed in Milne Bay Province.",There is no specific information available about the number of people who were injured due to Cyclone Ita.,The total economic damage from Cyclone Ita amounted to $1.15 billion.,"39 homes were rendered uninhabitable in the Grey District of New Zealand, and 200 homes were affected in Cooktown, with 16 severely damaged or destroyed."
247,Tropical Storm Kelly,https://en.wikipedia.org/wiki/Tropical_Storm_Kelly,"Tropical Storm Kelly occurred from June 27, 1981 to July 6, 1981.","The areas affected by Tropical Storm Kelly include the Philippines, China.","More than 3,600 individuals were displaced due to Tropical Storm Kelly.",A total of 192 fatalities were confirmed caused by Tropical Storm Kelly.,"More than 3,600 persons lost their homes due to Tropical Storm Kelly.",30 people were injured related to Tropical Storm Kelly in total.,The economic damage totaled to $7.8 million (1981 USD) due to Tropical Storm Kelly.,Over 800 dwellings were destroyed by Tropical Storm Kelly.
248,1888 Moradabad hailstorm,https://en.wikipedia.org/wiki/1888_Moradabad_hailstorm,The 1888 Moradabad hailstorm occurred on 30 April.,"The hailstorm occurred in Moradabad, in the Indian state of Uttar Pradesh.",The hailstorm killed 248 people and 1700 cattle and sheep.,The hailstorm caused 248 deaths.,NULL,NULL,NULL,NULL
249,2016 Maryland flood,https://en.wikipedia.org/wiki/2016_Maryland_flood,"The 2016 Maryland flood occurred on July 30, 2016.","The flooding affected low-lying areas of the Patapsco and Jones Falls valleys, as well as the historic downtown area of Ellicott City, Maryland.","At least two people were confirmed to have died, and many homes, businesses, sidewalks, and landmarks were damaged.","At least two people were confirmed to have died (Jessica Watsula, 35, and Joseph A.).",NULL,NULL,The property damage was $22.435 million (2016 USD).,Main Street remained closed for more than two months as businesses and residents cleaned up from the floods and began repairing damaged buildings and sidewalks.
250,Typhoon Cary (1987),https://en.wikipedia.org/wiki/Typhoon_Cary_(1987),"Typhoon Cary (1987) occurred from August 7, 1987 to August 24, 1987.","The areas affected by Typhoon Cary (1987) include Philippines, Hainan, Hong Kong, and Vietnam.","A total of 55,567 people or 13,247 families were either homeless or sought shelter due to Typhoon Cary (1987).",There were 25 deaths confirmed caused by Typhoon Cary (1987) in total.,"A total of 55,567 people or 13,247 families were either homeless or sought shelter due to Typhoon Cary (1987).","Several people were injured due to Typhoon Cary (1987), but the exact number is not specified.",The economic loss or damage due to Typhoon Cary (1987) was $5.58 million (1987 USD).,A total of 954 houses were damaged and an additional 89 were destroyed across the Philippines due to Typhoon Cary (1987).
251,1998 Gujarat cyclone,https://en.wikipedia.org/wiki/1998_Gujarat_cyclone,"The 1998 Gujarat cyclone occurred from June 4, 1998, to June 10, 1998.",The areas affected by the 1998 Gujarat cyclone were India and Pakistan.,"At least 1,173 people died and 1,774 people went missing due to the cyclone.","At least 1,173 people died as a result of the 1998 Gujarat cyclone.","Over 162,000 structures were damaged or destroyed throughout the affected area, and damages amounted to $3 billion.",At least 893 people were injured by the 1998 Gujarat cyclone.,The economic loss or damage amounted to $3 billion.,"Over 162,000 structures were damaged or destroyed throughout the affected area."
252,Nan,"https://en.wikipedia.org/wiki/St._Lucia%27s_flood', ""St. Lucia's flood - Wikipedia"", 'st . lucia day",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
253,2014 Assiniboine River flood,https://en.wikipedia.org/wiki/2014_Assiniboine_River_flood,Date: June 2014,The flood involved both the main stem of the Assiniboine River and many of its tributaries including the Qu'Appelle River and the Souris River.,Nine homes in the St. Lazare area outside the community ring dike were damaged.,NULL,NULL,NULL,Preliminary estimates of damages directly from the flooding are estimated at $1 billion for the agricultural sector alone with further damages yet to be assessed for property owners and other businesses. This does not include economic losses related to economic spin-offs which are estimated to total a $3 billion loss to the economy of Manitoba.,Numerous properties along the Assiniboine River east of Portage la Prairie suffered significant property damage as well as bank erosion and loss of mature stands of trees.
254,Cyclone Quimburga,https://en.wikipedia.org/wiki/Cyclone_Quimburga,"Cyclone Quimburga occurred between 12 and 14 November, 1972.","The areas affected by Cyclone Quimburga include Newfoundland, British Isles, France, Germany, Netherlands, Belgium, Italy, Switzerland, Austria, Denmark, and Poland.",NULL,Cyclone Quimburga resulted in 54 confirmed fatalities.,NULL,NULL,NULL,The storm destroyed the Königs Wusterhausen Central Tower and the church steeple in Berlin-Friedrichshagen.
255,1933 Treasure Coast hurricane,https://en.wikipedia.org/wiki/1933_Treasure_Coast_hurricane,"The 1933 Treasure Coast hurricane occurred from August 31, 1933 to September 7, 1933.","The areas affected by the 1933 Treasure Coast hurricane include The Bahamas, Florida, Georgia, and The Carolinas.","Of the 7,900 families adversely affected by the hurricane, 4,325 required assistance from the American Red Cross.",Three deaths were confirmed caused by the 1933 Treasure Coast hurricane in total.,"The storm left 400 to 500 people homeless in Stuart, up to nearly 10% of the population, which was 5,100 at the time.",NULL,"The storm caused $3 million in damage (1933 USD) after damaging or destroying 6,848 homes.","The storm damaged 6,465 houses and destroyed another 383, causing over $3 million in damage."
256,Cyclone Apollo,https://en.wikipedia.org/wiki/Cyclone_Apollo,Cyclone Apollo occurred from 24 October 2021 to 2 November 2021.,"Cyclone Apollo affected Algeria, Tunisia, Italy (especially Sicily), Malta, Libya, Cyprus, and Turkey.","The storm killed 7 people total, due to flooding from the cyclone, in the countries of Tunisia, Algeria, Malta, and Italy.",7 people were confirmed dead due to Cyclone Apollo.,NULL,NULL,Damage estimates by the Aon Benfield were set at more than $245 million.,NULL
257,Hurricane Fiona,https://en.wikipedia.org/wiki/Hurricane_Fiona,"Hurricane Fiona occurred from September 14, 2022 to September 27, 2022.","Hurricane Fiona affected the Leeward Islands, Puerto Rico, Dominican Republic, Lucayan Archipelago, Bermuda, Atlantic Canada, Saint Pierre and Miquelon, and Greenland.","At least 29 deaths have been confirmed throughout the Caribbean and Canada from Hurricane Fiona as of September 30. Over one million people were left without running water and another 350,000 in the Dominican Republic were left without electricity after Fiona had passed. At least 670 people were rescued from impacted sites following Fiona's deluge.",At least 29 deaths have been confirmed throughout the Caribbean and Canada from Hurricane Fiona as of September 30.,"Fiona left more than 500,000 customers without power, including 80% of all Nova Scotia customers and 95% of Prince Edward Island customers. At least 100 homes were damaged or destroyed in Newfoundland, primarily in Channel-Port aux Basques, with more than 200 people displaced.",NULL,"Insured losses from Fiona in Canada are estimated to be at least CA$800 million (US$590 million), with the total damage expected to be significantly higher. Preliminary assessments indicated the grid suffered more than US$2 billion in damage in Puerto Rico. The storm left over 1,000 homeless and the minister Jean-Francois Carenco declared an area of natural disaster for 22 towns.","At least 100 homes were damaged or destroyed in Newfoundland, primarily in Channel-Port aux Basques, with more than 200 people displaced. Fiona caused major flooding in Quebec's Magdalen Islands, southeastern New Brunswick, Prince Edward Island, northeastern Nova Scotia, and southern Newfoundland. Teacup Rock, a rock formation and local tourist attraction on the coast near Thunder Cove, Prince Edward Island, was destroyed after Hurricane Fiona struck."
258,Columbus Day Storm of 1962,https://en.wikipedia.org/wiki/Columbus_Day_Storm_of_1962,"The Columbus Day Storm of 1962 occurred on October 12, 1962.","The areas affected by Columbus Day Storm of 1962 were Northern California, Pacific Northwest, and Canada.","At least 46 fatalities were attributed to this storm, and injuries went into the hundreds.",At least 46 fatalities were confirmed to be caused by Columbus Day Storm of 1962.,The text does not provide specific information about the number of people who became homeless or displaced.,Injuries went into the hundreds due to Columbus Day Storm of 1962.,"The economic damage was estimated at approximately $230 million to $280 million for California, Oregon, and Washington combined.","Estimates put the dollar damage at approximately $230 million to $280 million for California, Oregon, and Washington combined, with the undamaged home being the exception in the Willamette Valley."
259,Hurricane Humberto (2019),https://en.wikipedia.org/wiki/Hurricane_Humberto_(2019),"Humberto formed on September 13, 2019, and dissipated on September 20, 2019.","The areas affected by Hurricane Humberto (2019) include Bahamas, East Coast of the United States, Puerto Rico, Bermuda, and Atlantic Canada.","More than 27,900 electricity customers, around 80% of the territory, were left without power in Bermuda.",Two deaths were confirmed to be caused by Hurricane Humberto (2019) in total.,NULL,"One rip current victim in Florida was found dead after a two-day search, while another was hospitalized in critical condition. In North Carolina, a 62-year-old man drowned after getting caught in a rip current.",The hurricane wrought over $25 million in damage throughout Bermuda.,An estimated 500-600 buildings sustained roof damage in Bermuda.
260,Tropical Storm Kirk (2018),https://en.wikipedia.org/wiki/Tropical_Storm_Kirk_(2018),"Tropical Storm Kirk occurred from September 22, 2018 to September 28, 2018.","The areas affected by Tropical Storm Kirk include Barbados, Windward Islands, Guadeloupe, Saint Lucia, Saint Vincent and the Grenadines, Martinique, and northeastern Saint Vincent.","At least 11 emergency water rescues were prompted in Barbados, and three families had to evacuate their homes in northeastern Saint Vincent.",Two fishermen were presumed dead after they ventured out during the storm in Saint Vincent and the Grenadines.,Three families had to evacuate their homes in northeastern Saint Vincent due to coastal flooding.,NULL,"At least $440,000 (2018 USD) in damage was reported in Saint Lucia, and the government of Barbados received an insurance payout of about Bds$11.6 million (US$5.8 million) from CCRIF SPC to cover flood damage.","Several buildings were damaged and at least two were destroyed in Saint Lucia, and a stone wall on the property of the Government House in Barbados was damaged."
261,Cyclone Idai,https://en.wikipedia.org/wiki/Cyclone_Idai,Cyclone Idai occurred from 4 March 2019 to 21 March 2019.,"Cyclone Idai affected northern and central Mozambique, Malawi, northern Madagascar, and Zimbabwe.","More than 3 million people experienced the direct effects of the cyclone, with hundreds of thousands in need of assistance.","At least 1,593 deaths were confirmed to be caused by Cyclone Idai.","A total of 128,941 people were displaced to 143 evacuation centers nationwide.","At least 1,641 people were injured as a result of the cyclone.",The total damages from Cyclone Idai were estimated to be around $3.3 billion (2019 USD).,"Assessments indicate the destruction of 111,163 homes, damage to another 112,735 houses, and flooding to a further 15,784 structures."
262,Tropical Storm Josephine (1996),https://en.wikipedia.org/wiki/Tropical_Storm_Josephine_(1996),"Tropical Storm Josephine occurred from October 4, 1996 to October 13, 1996.","The areas affected by Tropical Storm Josephine include the Southeastern United States, Mid-Atlantic, Northeastern United States, and Atlantic Canada.",NULL,Three indirect fatalities were confirmed caused by Tropical Storm Josephine (1996) in total.,"Hundreds of homes were flooded, and about 3,600 houses were affected along the west coast. Over 200 people were stranded when floodwaters rose in Grand Isle.","One person died in Georgia, North Carolina, and Virginia due to traffic accidents related to the storm. Additionally, one woman had a heart attack in Edgewater, Florida due to a tornado caused by the storm.",The economic loss or damage due to Tropical Storm Josephine (1996) totaled about $130 million (1996 USD).,"130 homes were damaged by a tornado in Edgewater, Florida, and about 3,600 homes were flooded along the west coast of Florida."
263,Cyclone Carmen,https://en.wikipedia.org/wiki/Cyclone_Carmen,Cyclone Carmen occurred from 7 November 2010 to 19 November 2010.,"Cyclone Carmen affected the United Kingdom, Ireland, France, Belgium, the Netherlands, and Northern Europe.","35 people were killed during the storm, and 12 students were injured in a bus crash in County Galway.",13 fatalities were confirmed to be caused by Cyclone Carmen.,"Approximately 100 homes were affected in the Isle of Wight, and some people had to evacuate their homes.",12 students were injured in a bus crash in County Galway.,The economic loss or damage was not explicitly mentioned in the provided text.,"Several businesses in Lostwithiel were badly damaged by a mudslide, and a bakery was destroyed."
264,Typhoon Mamie (1985),https://en.wikipedia.org/wiki/Typhoon_Mamie_(1985),"Typhoon Mamie occurred from August 15, 1985, to August 21, 1985.","The areas affected by Typhoon Mamie include northeastern China, specifically Shanghai, Yantai, and Dairen.",Nearly 1 million people were directly affected by the typhoon.,17 fatalities occurred due to Typhoon Mamie.,"About 8,000 homes were flooded and 120,000 houses received damage, leading to a significant number of people becoming homeless or displaced.",165 people were injured due to Typhoon Mamie.,Losses totaled $172 million (1985 USD) due to Typhoon Mamie.,"Approximately 8,000 homes were flooded and 120,000 houses received damage, leading to significant building damage."
265,Schoolhouse Blizzard,https://en.wikipedia.org/wiki/Schoolhouse_Blizzard,"The Schoolhouse Blizzard occurred on January 12, 1888.",The Schoolhouse Blizzard affected the U.S. Great Plains.,"Many people were caught unaware, including children in one-room schoolhouses.","The death toll was 235, though some estimate 1,000.",NULL,NULL,NULL,NULL
266,Cyclone Imogen,https://en.wikipedia.org/wiki/Cyclone_Imogen,Cyclone Imogen occurred from 1 January 2021 to 6 January 2021.,"Cyclone Imogen affected parts of northern Queensland, including the Northern Territory and Far North Queensland.",NULL,None reported,NULL,NULL,Cyclone Imogen caused at least $10 million in damages.,"Cyclone Imogen caused extensive damage, including flooding and uprooted trees."
267,2018 Sudan floods,https://en.wikipedia.org/wiki/2018_Sudan_floods,"From July to November 2018, Sudan experienced extensive flooding due to extreme rainfall.","The most affected states were Kassala, West Kordofan, and Khartoum.","By November 5, over 19,640 homes had been destroyed, and an estimated 222,275 people had been affected.","By August 16, at least 23 people had been killed","Over 19,640 homes had been destroyed",At least 23 people had been killed and over 60 injured.,NULL,"Over 19,640 homes had been destroyed"
268,1966 flood of the Arno,https://en.wikipedia.org/wiki/1966_flood_of_the_Arno,"The 1966 flood of the Arno occurred on November 4, 1966.",The city of Florence was heavily affected by the 1966 flood of the Arno.,"Approximately 5,000 families were left homeless by the storm, and 6,000 stores were forced out of business.",The 1966 flood of the Arno killed 101 people.,"Approximately 5,000 families were left homeless by the storm.",NULL,NULL,"Approximately 600,000 tons of mud, rubble, and sewage severely damaged or destroyed numerous collections of books, manuscripts, and fine art."
269,2007 Asian heat wave,https://en.wikipedia.org/wiki/2007_Asian_heat_wave,"The 2007 Asian heat wave ran during the months of May and June, which continued to September in Japan.","The South Asian countries of India, Pakistan, Bangladesh, and Nepal, as well as Russia, Japan and the People's Republic of China were affected by the 2007 Asian heat wave.","The heat wave affected the livelihood of a large number of poverty-stricken families who depend on day outdoor labour done outdoors, such as constructing roads, driving rickshaws, selling vegetables, making quilts and farming.",The heat wave left at least 25 people dead. The death toll in Pakistan was claimed to have brought the death toll there up to 192.,NULL,The explosions injured hundreds of people nearby.,"The heat also affected agriculture, wiping out about 5,000 km2 of spring sown fields.",NULL
270,Typhoon Nesat (2017),https://en.wikipedia.org/wiki/Typhoon_Nesat_(2017),"Typhoon Nesat (2017) occurred from July 25, 2017, to July 30, 2017.","Typhoon Nesat (2017) affected the Philippines, Ryukyu Islands, Taiwan, East China, and Thailand.",A total of 111 people were injured when the typhoon hit.,Three deaths were confirmed caused by Typhoon Nesat (2017) in total.,NULL,A total of 111 people were injured when the typhoon hit.,The economic damage due to Typhoon Nesat (2017) was estimated at $282 million (2017 USD).,"Nearly 200 schools across Taiwan were damaged, accounting for about $17.8 million NT (US$588,000) of losses."
271,Hurricane Matthew,https://en.wikipedia.org/wiki/Hurricane_Matthew,"Hurricane Matthew occurred from September 28, 2016, to October 10, 2016.","Hurricane Matthew affected the Windward Islands, Leeward Antilles, Venezuela, Colombia, Greater Antilles (Jamaica, Hispaniola, Puerto Rico, Cuba), Lucayan Archipelago (Turks and Caicos Islands, The Bahamas), Southeastern United States, and Atlantic Canada.","Approximately 2.1 million people were affected by the storm, with 1.4 million left in need of assistance and roughly 175,000 people left homeless.",A total of 603 deaths were confirmed caused by Hurricane Matthew.,"Roughly 175,000 people were left homeless due to Hurricane Matthew.",There were 439 people injured as a result of Hurricane Matthew.,The economic loss or damage due to Hurricane Matthew was estimated to be $16.5 billion (2016 USD).,"It is mentioned that an estimated 100,000 structures were flooded across the state and damage reached US$1.5 billion."
272,1911–1916 Australian drought,https://en.wikipedia.org/wiki/1911%E2%80%931916_Australian_drought,The 1911–16 Australian drought consisted of a series of droughts that affected various regions of Australia between the years of 1911 and 1916.,"Most of the dry spells during this period can be related to three El Niño events in 1911, 1913 and 1914, though rainfall deficiencies actually began in northern Australia before the first of these El Niños set in and did not ease in coastal districts of New South Wales until well after the last El Niño had firmly dissipated and trends toward very heavy rainfall developed in other areas of the continent.",NULL,NULL,NULL,NULL,NULL,NULL
273,2006 New England flood,https://en.wikipedia.org/wiki/2006_New_England_flood,"The New England Flood of May 2006 started on May 11, 2006.","The flood occurred in New England, especially in New Hampshire and Massachusetts.","Hundreds of residents were evacuated from their homes as the waters rose, and thousands of people were evacuated.","There were at least two fatalities, both in Topsfield, Massachusetts.","Water was reported to be up to the rooftops of several homes, and dozens of homes were flooded, especially in Manchester where the Merrimack was 10 feet (3 m) above flood stage.",NULL,"Several businesses were damaged, including a Friendlys, a 7-11, and the first floor of a hotel.","Dozens of homes were flooded, and several businesses were damaged."
274,Hurricane Laura,https://en.wikipedia.org/wiki/Hurricane_Laura,"Hurricane Laura occurred from August 20, 2020, to August 29, 2020.","Hurricane Laura affected the Lesser Antilles, Greater Antilles, The Bahamas, Gulf Coast of the United States, Midwestern United States, and Eastern United States.","The text mentions that at least 41 people died in the United States, and at least 31 people were confirmed dead in Haiti. The total number of people explicitly affected is not explicitly mentioned.",The total number of deaths confirmed caused by Hurricane Laura is 81.,The total number of people who became homeless or displaced due to Hurricane Laura is not explicitly mentioned.,The total number of people who became injured related to Hurricane Laura is not explicitly mentioned.,The economic loss or damage due to Hurricane Laura is estimated to be at least $23.3 billion (2020 USD).,"The text mentions extensive damage and losses to Louisiana's timber industry, as well as damage to industrial facilities, but the total number of buildings damaged or destroyed is not explicitly mentioned."
